<<<<<<< HEAD
﻿04-1,1,610003072,工共112,工業数学Ⅱ,2,２－０,必,,山田孝治,7,70,1,月,2,,工1-321,半年,,※知能情報コース学生対象
=======
﻿整理番号,"シラバス
日英区分","講　義
コード",科目番号,科目名,単位,週時間,必修選択,所属,"担当
教員名",組名,"登録
人員","受 講
年 次",曜 日,時 限,"遠隔
授業",教 室,期間,"調整期間登録
(許可コード)",備　　　考
04-1,1,610003072,工共112,工業数学Ⅱ,2,２－０,必,,山田孝治,7,70,1,月,2,,工1-321,半年,,※知能情報コース学生対象
>>>>>>> 81225e91efd6202bb17a4450db2554c8fd98661c
04-2,1,610006072,工共119,基礎数学Ⅱ,1,１－０,選,,○姜・山田,4,70,1,月,"4
<=3",,地創棟501,半年,○,※知能情報コース学生対象
04-4,1,610011072,工共214,プログラミングⅡ,2,２－０,必,,當間愛晃,,70,1,火,1,,工1-321,半年,,"※知能情報コース学生対象
情報工学科：情106「プログラミングⅡ」と合併授業．"
04-5,1,610014072,工共302,エンジニアリングデザイン演習,2,２－０,必,,"全教員
 (〇赤嶺)",7,70,3,火,4・5,,地創棟508,半年,○,情報工学科：情302「情報工学実験Ⅳ」と合併授業．
04-9,1,610026072,工共338,インターンシップⅠ,1,,選,,"3年次指導教員
(〇赤嶺)",3,,2・3,,,,,集中,web不要,"※知能情報コース学生対象
情報工学科：情281「インターンシップⅠ」と合併授業．
夏季又は春季休業中"
04-10,1,610027072,工共339,インターンシップⅡ,1,,選,,"3年次指導教員
(〇赤嶺)",3,,2・3,,,,,集中,web不要,"※知能情報コース学生対象
情報工学科：情381「インターンシップⅡ」と合併授業．
夏季又は春季休業中"
04-11,1,610028072,工共340,インターンシップⅢ,2,,選,,"3年次指導教員
(〇赤嶺)",3,,2・3,,,,,集中,web不要,"※知能情報コース学生対象
夏季又は春季休業中"
04-14,1,610033072,工共402,卒業研究II,3,０－６,必,,"全教員
(〇當間 )",6,,4,,,,各研究室,半年,〇,※知能情報コース学生対象
04-15,1,610037072,工共406,セミナーII,1,１－０,必,,"全教員
(〇當間 )",4,,4,,,,各研究室,半年,〇,※知能情報コース学生対象
04-19,1,617001002,知能102,プログラミング演習Ⅱ,1,２－０,必,,赤嶺有平,,70,1,火,2,,工1-321,半年,,
04-20,1,617002002,知能103,離散数学,2,２－０,必,,遠藤聡志,,70,1,木,4,,工1-322,半年,,
04-21,1,617004012,知能202,知能情報実験Ⅱ,1.5,０－３,必,,○宮里・吉田,,40,2,月,3・4,,工1-321,半年,,情報工学科：情202「情報工学実験II」と合併授業. 
04-23,1,617010002,知能208,オペレ－ティングシステム,2,２－０,必,,河野真治,,80,2,金,3,,工1-321,半年,,情報工学科：情204「オペレーティングシステム」と合併授業. 
04-24,1,617011002,知能209,コンピュータアーキテクチャ,2,２－０,必,,和田知久,,90,2,金,1,,工1-322,半年,,
04-25,1,617012002,知能210,データベースシステム,2,２－０,必,,長山　格,,70,2,木,5,,工1-321,半年,,
04-26,1,617013002,知能211,人工知能,2,２－０,必,,遠藤聡志,,90,2,月,1,,工1-322,半年,,情報工学科：情221「人工知能」と合併授業. 
04-27,1,617014002,知能212,ソフトウェア開発演習I,2,２－０,必,,國田　樹,,70,2,木,2・3,,工1-321,"半年
第３クォーター",,
,,617017002,知能223,情報ネットワークⅡ,2,２－０,選,,新任,,70,2,木,4,,工1-321,半年,,情報工学科：情213「情報ネットワークII」と合併授業.
04-28,1,617018002,知能224,V L S I 設計,2,２－０,選,,和田知久,,35,2,月,,,"情報基盤統括センター
第1,3実習室",半年,,情報工学科：情412「VLSI設計」と合併授業. 
04-29,1,617019002,知能225,言語理論とオートマトン,2,２－０,選,,河野真治,,65,2,水,4,,工1-321,半年,,情報工学科：情252「言語理論とオートマトン」と合併授業. 
04-30,1,617020002,知能226,ディジタル信号処理,2,２－０,選,,姜　東植,,90,2,水,2,,工1-322,半年,,情報工学科：情352「ディジタル信号処理」と合併授業. 
04-31,1,617029002,知能227,情報理論,2,２－０,選,,姜　東植,,90,2,金,2,,工1-322,半年,,情報工学科：情255「情報理論」と合併授業. 
,1,617052012,知能228,知能情報基礎演習Ⅲ,1,０－４,必,,吉田　たけお,1,40,2,月,3・4,,工1-321,第3クォーター,,2021年度以降の入学生対象。学籍番号の下一桁が偶数の学生。
,1,617052022,知能228,知能情報基礎演習Ⅲ,1,０－４,必,,吉田　たけお,2,40,2,火,3・4,,工1-321,第3クォーター,,2021年度以降の入学生対象。学籍番号の下一桁が奇数の学生。
,1,617053012,知能229,知能情報基礎演習Ⅳ,1,０－４,必,,宮里　智樹,1,40,2,月,3・4,,工1-321,第4クォーター,,2021年度以降の入学生対象。学籍番号の下一桁が偶数の学生。
,1,617053022,知能229,知能情報基礎演習Ⅳ,1,０－４,必,,宮里　智樹,2,40,2,火,3・4,,工1-321,第4クォーター,,2021年度以降の入学生対象。学籍番号の下一桁が奇数の学生。
,1,617026002,知能325,インターネットアーキテクチャ,2,２－０,選,,新任,,90,2・3・4,,,,工1-322,集中,web不要,"情報工学科：情364「インターネット・ソフトウェア」と合併授業.
調整中。確定次第告知するが、不開講となる可能性あり。"
,,617031002,知能329,ディジタル制御論,2,２－０,選,,宮里智樹,,30,3,金,3,,地創棟508,半年,,情報工学科：情354「ディジタル制御論」と合併授業．
,,617032002,知能330,画像処理,2,２－０,選,,長山 格,,90,3,木,3,,工1-322,半年,,情報工学科：情326「マルティメディア情報処理」と合併授業．
,,617033002,知能331,ネットワークセキュリティ,2,２－０,選,総,新任,,45,3,木,5,,工1-322,半年,,情報工学科：情315「情報セキュリティ」および工学科工学融合(選択)：知能981「ネットワークセキュリティ」と合併授業．
04-36,1,617040002,知能422,ICT実践英語II,2,２－０,選,非,比嘉健伸,,30,4,木,1,,共4-305,半年,,情報工学科：情451「情報英語II」と合併授業．
,1,617045002,知能491,知能情報特別講義Ⅰ,2,２－０,選,,玉城　絵美,,38,2・3・4,,,,,集中,web不要,調整中。確定次第告知するが、開講時期によっては卒業予定者の単位認定に間に合わないため受講不可となる可能性あり。
04-17,1,610007012,工共150,工学概論,2,２－０,選,,"各コース教員
（〇柴田　信一）",,40,1,木,1,,工1-221,半年,,"教員免許（工業）必修科目
原則，教員免許取得を希望する者"
04-37,1,610015002,工共320,Frontiers of Engineering,2,２－０,選,,"コーディネーター
（〇比嘉広樹
長田 康敬）",,20,3,月,5,,"工3-101
2-413",半年,,"工501「Frontiers of Engineering」と合併授業．
講義は英語で行われる"
04-38,1,610017002,工共322,技術英語Ⅱ,2,２－０,選,,和田知久,,40,3,水,1,,工1-322,半年,,GE登録学生もしくはGE登録予定学生のみ
04-39,1,610018002,工共330,地域課題解決実践演習,2,２－０,選,,遠藤聡志,,35,3,,,,,集中,○,登録希望者が多い場合にはGEプログラム履修生を優先する．
04-41,1,610023002,工共335,知的財産権,2,２－０,選,非,大城　盛博,,50,3・4,水,4,,工4-211,半年,,
04-44,1,610025002,工共337,経営工学概論,2,２－０,選,非,名渡山　秋彦,,40,3・4,水,4,,工4-212,半年,,
04-54,1,610029002,工共341,国際インターンシップⅠ,1,,選,,福田　朝生,,,3・4,,,,,集中,web不要,各大学，各企業，報告書提出
04-67,1,610039002,工共441,国際インターンシップⅡ,2,,選,,福田　朝生,,,3・4,,,,,集中,web不要,各大学，各企業，報告書提出
04-68,1,610041002,工共451,情報科教育法Ａ,2,２－０,選,,岡﨑威生,,10,3,木,1,,工1-321,半年,,"教員免許（情報）
情報工学科：情367「情報科教育法Ａ」と合併授業．"
